objectid,parentid,title,field_edtf_date,field_description_long,field_linked_agent,field_physical_form,field_genre,field_extent,field_language,field_subject,field_subjects_name,field_geographic_subject,field_temporal_subject,field_use_reproduction,field_rights_statement,field_collection_guide,field_shelf_locator,field_local_identifier,field_note,field_member_of,type,format,object_comments,group,display_template,object_location,image_small,image_thumb,extension,image_alt_text,notes
295033,,Mohandas K. Gandhi letter to Jane Addams 1932 10 07,1932-10-07,"Mohandas K. Gandhi to Jane Addams; Autograph letter signed, 1 p. (1 leaf). Letterhead: ""Superintendent, Yeravda Central Prison, (Poona).""","Gandhi, Mahatma, 1869-1948; Addams, Jane, 1860-1935",Text; correspondence,Text; correspondence,1 p. (1 leaf),English,,,,,"Reproduction for any purpose other than teaching, personal use, or research may be a violation of federal copyright law. If you wish to reproduce or publish these materials for any other reason, see: http://www.swarthmore.edu/Library/peace/peacewebsite/scpcWebsite/Documents/Policies.htm#copyright",COPYRIGHT NOT EVALUATED,Mohandas K. Gandhi Collected Papers; http://archives.tricolib.brynmawr.edu/repositories/8/resources/8069,"CDG.B. India. Gandhi, M.K",Gandhi_Addams_19321007,Origin: Transferred from the papers of Jane Addams in the Swarthmore College Peace Collection,Mohandas K. Gandhi Correspondence|Peace Collection Greatest Hits,Image;StillImage,image/jpeg,,artifact,artifact_image,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2023-03/295033-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2023-03/295033-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2023-03/295033-Service%20File.jpg,png,,
scpc-dg054_08,,Printers block (silver) - Front,,,,,,,,,,,,,,,,scpc:dg054_08,,Lake Mohonk Conference on International Arbitration Records,Image;StillImage,image/jpeg,,artifact,artifact_image,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525290-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525290-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525290-Service%20File.jpg,,,DG054_PrintBlock_5.tif
scpc-dg054_09,scpc-dg054_08,Printers block (silver) - Back,,,,,,,,,,,,,,,,scpc:dg054_09,,Lake Mohonk Conference on International Arbitration Records,Image;StillImage,image/jpeg,,artifact,artifact_image,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525291-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525291-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525291-Service%20File.jpg,,,DG054_PrintBlock_6.tif
scpc-dg054_10,scpc-dg054_08,Printers block (silver) - Side 1,,,,,,,,,,,,,,,,scpc:dg054_10,,Lake Mohonk Conference on International Arbitration Records,Image;StillImage,image/jpeg,,artifact,artifact_image,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525292-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525292-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525292-Service%20File.jpg,,,DG054_PrintBlock_7.tif
scpc-dg054_11,scpc-dg054_08,Printers block (silver) - Side 2,,,,,,,,,,,,,,,,scpc:dg054_11,,Lake Mohonk Conference on International Arbitration Records,Image;StillImage,image/jpeg,,artifact,artifact_image,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525293-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525293-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525293-Service%20File.jpg,,,DG054_PrintBlock_8.tif
scpc-dg054_12,scpc-dg054_08,Printers block (silver) - Side 3,,,,,,,,,,,,,,,,scpc:dg054_12,,Lake Mohonk Conference on International Arbitration Records,Image;StillImage,image/jpeg,,artifact,artifact_image,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525294-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525294-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525294-Service%20File.jpg,,,DG054_PrintBlock_9.tif
scpc-dg054_13,scpc-dg054_08,Printers block (silver) - Side 4,,,,,,,,,,,,,,,,scpc:dg054_13,,Lake Mohonk Conference on International Arbitration Records,Image;StillImage,image/jpeg,,artifact,artifact_image,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525295-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525295-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525295-Service%20File.jpg,,,DG054_PrintBlock_10.tif
scpc-dg038_scroll,,Exchange of Friendly Addresses between women of Exeter and Philadelphia,1846,"Friendly Addresses were inspired by Joseph Crosfield, an English Quaker, and Elihu Burritt, an American, to promote friendship between the United States and Great Britain on a person-to-person level. This exchange of two letters between the women of Exeter in England and Philadelphia in the United States  was prompted due to tensions between England and the United States known as the ""Oregon Question,"" a boundary dispute resulting from competing claims to the Pacific Northwest territory.  In this display, the address from Exeter appears first, the reply from Philadelphia appears second, and then all of the signatures on the address from Exeter appear at the end. Click through to each letter to find its transcription.",,Text,letters (correspondence),2 items,eng,Women and peace;Oregon question,,,,"Please cite appropriately, crediting the item in the Universal Peace Union Records (DG 038), Swarthmore College Peace Collection.",NO COPYRIGHT - UNITED STATES,"https://archives.tricolib.brynmawr.edu/resources/scpc-dg-038;Universal Peace Union Records, SCPC-DG-038",,scpc:DG038_scroll,,Universal Peace Union Records,Image;StillImage,compound_object,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/dg038_scroll_and_response.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525298-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525298-Service%20File.jpg,,,DG038_scroll_and_response.pdf
scpc-dg038_scroll_01,scpc-dg038_scroll,"To the Women of the City of Philadelphia, and of the United States Generally, the Friendly Address of the Undersigned Women Inhabitants of the City of Exeter in England",1846-04-28,"Handwritten address; a plea, dated 28th of April 1846, signed by 1623 English women, invoking a common ancestry and urging their American sisters to unite with them ""in using the influence we possess, which is not powerless though exerted chiefly around the domestic hearth.""",,,,,,,,,,,,,,scpc:DG038_scroll_01,,,Image;StillImage,application/pdf,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525297-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525297-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525297-Service%20File.jpg,,,DG038_scroll_01.tif
scpc-dg038_scroll_25,scpc-dg038_scroll_01,"From the Women of Philadelphia U.S.A. in Answer to the Friendly Address of the Women of Exeter, England, on the Subject of Peace Resource ",,"Handwritten draft of a reply to an address from women of Exeter, England, in response to their plea urging their American sisters to help prevent war between England and the United States. This draft, of which the final version no longer exists, warns that a mother could sow the seed of blood-thirsty ambition in her son ""when in his childish hours she gave him tiny weapons, and taught him how to mimic war's murderous game."" It is signed by Lucretia Mott. The reply, which was sent to England and is now lost, was signed by 3,525 Philadelphia women. ","Mott, Lucretia, 1793-1880",,,,,,,,,,,,,scpc:DG038_scroll_25,,,Image;StillImage,application/pdf,,artifact,artifact-page-base,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525298-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525298-Service%20File.jpg,https://digitalcollections.tricolib.brynmawr.edu/_flysystem/fedora/2025-09/525298-Service%20File.jpg,,,DG038_scroll_response.tif
