objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,recipient,associated_names,location,latitude,longitude,location_2,latitude_2,longitude_2,identifier,doc_length,cabinet,drawer,box,bag,type_point,material,material_source,length_mm,width_mm,thickness_mm,weight_g,count,source,language,rights,rightsstatement,student_initials,GGOI,original_format,type,format,object_comments,group,display_template,filename,extension,box_num,folder_num,id_num,publish,object_thumb,object_location,reference_url
"ce_cc_d2_1950_model_stl","ce_cc_d2_1950_model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/stl",,"artifact","3d_model_child",,"stl",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1950_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1950_model.stl","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1950_model.html#ce_cc_d2_1950_model_stl"
"ce_cc_d2_1950_model_x3d","ce_cc_d2_1950_model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/x3d",,"artifact","3d_model_child",,"x3d",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1950_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1950_model.x3d","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1950_model.html#ce_cc_d2_1950_model_x3d"
"ce_cc_d2_1950-a","ce_cc_d2_1950_model","Ce.1950","Crabtree, Donald &quot;Don&quot; E.","1975-80","1975-80","yes","Clovis","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1950-a",,"C","2","N/A","N/A","projectile point","obsidian","Glass Butte, Oregon","84.25","31.16","7.16","20.6","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"multiple","artifact_image",,"jpg","CC","D2","1950-a",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1950-a_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1950-a.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1950_model.html#ce_cc_d2_1950-a"
"ce_cc_d2_1950-b","ce_cc_d2_1950_model","Ce.1950","Crabtree, Donald &quot;Don&quot; E.","1975-80","1975-80","yes","Clovis","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1950-b",,"C","2","N/A","N/A","projectile point","obsidian","Glass Butte, Oregon","84.25","31.16","7.16","20.6","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"artifact","image",,"jpg","CC","D2","1950-b",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1950-b_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1950-b.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1950_model.html#ce_cc_d2_1950-b"
"ce_cc_d2_1951_model",,"Ce.1951","Crabtree, Donald &quot;Don&quot; E.","1972","1972","yes","Folsom, basally ground","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1951_model",,"C","2","N/A","N/A","projectile point","cryptocrystalline silicate","N/A","52.08","20.45","4.31","5.9","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","InteractiveResource;3DObject",,,"model","3d_model",,"jpg","CC","D2","1951",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1951-a_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1951_model.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1951_model.html"
"ce_cc_d2_1951_model_mtl","ce_cc_d2_1951_model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/mtl",,"artifact","3d_model_child",,"mtl",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1951_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1951_model.mtl","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1951_model.html#ce_cc_d2_1951_model_mtl"
"ce_cc_d2_1951_model_obj","ce_cc_d2_1951_model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/obj",,"artifact","3d_model_child",,"obj",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1951_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1951_model.obj","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1951_model.html#ce_cc_d2_1951_model_obj"
"ce_cc_d2_1951_model_stl","ce_cc_d2_1951_model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/stl",,"artifact","3d_model_child",,"stl",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1951_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1951_model.stl","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1951_model.html#ce_cc_d2_1951_model_stl"
"ce_cc_d2_1951_model_x3d","ce_cc_d2_1951_model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/x3d",,"artifact","3d_model_child",,"x3d",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1951_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1951_model.x3d","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1951_model.html#ce_cc_d2_1951_model_x3d"
"ce_cc_d2_1951-a","ce_cc_d2_1951_model","Ce.1951","Crabtree, Donald &quot;Don&quot; E.","1972","1972","yes","Folsom, basally ground","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1951-a",,"C","2","N/A","N/A","projectile point","cryptocrystalline silicate","N/A","52.08","20.45","4.31","5.9","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"multiple","artifact_image",,"jpg","CC","D2","1951-a",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1951-a_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1951-a.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1951_model.html#ce_cc_d2_1951-a"
